,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
10,"DID U LIKE UR #spotifywrapped2024 result?

#apple #taylorswift #zoomjakol
#christmas #linkinpark
#barbieforteza jasDy Maris
#survivor47 Lakers #bitcoin100K",did like ur spotifywrapped2024 result apple taylorswift zoomjakol christmas linkinpark barbieforteza jasdy maris survivor47 lakers bitcoin100k,0.0,0.0,positive,0.0,0.857,0.143,0.3612,142,16
11,"""Stay in touch with ease and style."" 🤩😍
KYTES R3 ✨📱🤩
.
.
.
.
.
#electronics #technology #tech #engineering #gadgets #iphone #electrical #arduino #electronic #instagood #robotics #instatech #electricalengineering #gadget #smartphone #samsung #innovation #apple #diy #mobile https://t.co/lZRDPTdJEl", stay in touch with ease and style kytes r3 electronics technology tech engineering gadgets iphone electrical arduino electronic instagood robotics instatech electricalengineering gadget smartphone samsung innovation apple diy mobile ,0.0,0.0,positive,0.0,0.841,0.159,0.6249,234,29
12,"Can we all just agree that the obnoxiously loud dead battery notifications of AirPods is bad for your health?  🤯📢

#AirPods #Apple #heartattack #xrp #RIPeardrums",can we all just agree that the obnoxiously loud dead battery notifications of airpods is bad for your health airpods apple heartattack xrp ripeardrums,-0.2666666666666666,0.6222222222222222,negative,0.33,0.595,0.074,-0.8625,150,24
13,"#Apple has been cunning ppl into buying more storage by raising the amount of storage necessary for new IOS updates. 

Fuck Apple.", apple has been cunning ppl into buying more storage by raising the amount of storage necessary for new ios updates fuck apple ,0.047272727272727265,0.650909090909091,negative,0.143,0.857,0.0,-0.5423,127,22
14,"The Apple Savings APY falls again after another Federal Reserve rate cut in November, reaching a new all-time low of 3.90% APY.

#Apple #AppleSavings 
 
 https://t.co/MyEBeUmWL3",the apple savings apy falls again after another federal reserve rate cut in november reaching new all time low of 3 90 apy apple applesavings ,0.06818181818181818,0.37727272727272726,negative,0.156,0.778,0.067,-0.34,142,25
15,got my Apple Music wrap of the year 🙏🙏😭😭 #apple #year #2024AAA https://t.co/DWgstJxpn3,got my apple music wrap of the year apple year 2024aaa ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,55,11
16,"#Apple is set to enter the foldable smartphone market by 2026 with a flip-style #iPhone. Here’s what we know so far.

https://t.co/Uq9FB3wQ0x", apple is set to enter the foldable smartphone market by 2026 with flip style iphone here what we know so far ,0.1,1.0,neutral,0.0,1.0,0.0,0.0,110,21
17,One of my favorite #quotes of all time. Incredibly #true. #apple #Apple #stevejobs #microsoft -#Microsoft365 https://t.co/IWiXyZGdeH,one of my favorite quotes of all time incredibly true apple apple stevejobs microsoft microsoft365 ,0.425,0.825,positive,0.0,0.681,0.319,0.7264,99,15
18,"My dream reward is: 
Having some valuable tech items of #apple brand 
#Dreamscometrue #LINGO https://t.co/bnI92zOODZ",my dream reward is having some valuable tech items of apple brand dreamscometrue lingo ,0.0,0.0,positive,0.0,0.556,0.444,0.8316,87,14
19,"Episode 2 of Hustle Hard To Get It is on the way!!! 

If you still ain’t see episode 1 better click and watch: https://t.co/2CwH5Ie3it 

#realitytv #art #tv #google #instagram #seo #digitalmarketing #facebook #marketing #android #technology #googlepixel #youtube #pixel #apple https://t.co/lRWhxDD0Rl",episode 2 of hustle hard to get it is on the way if you still ain see episode 1 better click and watch realitytv art tv google instagram seo digitalmarketing facebook marketing android technology googlepixel youtube pixel apple ,0.10416666666666666,0.5208333333333333,positive,0.037,0.888,0.076,0.3612,228,38
20,"How did Steve Jobs and Bill Gates meet? | Story of Tech Titans - Part 1 | Talespot #apple #microsoft

Did you know Steve Jobs and Bill Gates first met in the late 1970s?

#stevejobs #billgates #techhistory #innovation #technology #hindi https://t.co/fza1ILxt5L",how did steve jobs and bill gates meet story of tech titans part 1 talespot apple microsoft did you know steve jobs and bill gates first met in the late 1970s stevejobs billgates techhistory innovation technology hindi ,-0.024999999999999994,0.4666666666666667,positive,0.0,0.931,0.069,0.3818,219,37
21,"How to Reset AirPods Max!
https://t.co/cSE0YSVFrj #AirPods #AirPodsMax #iPhone #Apple #tech",how to reset airpods max airpods airpodsmax iphone apple tech,0.0,0.0,neutral,0.0,1.0,0.0,0.0,61,10
22,Apple Card Savings Account gets another interest rate cut https://t.co/ljeno4jkcc #technology #tech #apple #mac #iphone #software #hardware https://t.co/ujqI1xWF0u,apple card savings account gets another interest rate cut technology tech apple mac iphone software hardware ,0.0,0.0,positive,0.11,0.733,0.157,0.2263,109,16
23,"📱 #Apple Card Savings #Account Rate Cut Again

https://t.co/WPx9TeNQ8C", apple card savings account rate cut again ,0.0,0.0,negative,0.259,0.741,0.0,-0.2732,43,7
24,"@wingeyes2 My phone just updated and when this came up on the screen, I thought of you lol. #Merhaba #HEJ #Regards !

 Those were the good days!! 🤣🤣

#Peripeeps #Peridrama #Peristreets #Periscope #Turkish #Turks #IOS #Apple #iOS18 #lPHONE #IPHONE16 #iPhone16Pro #IphoneSixteen https://t.co/PFkuwNyXOp", my phone just updated and when this came up on the screen thought of you lol merhaba hej regards those were the good days peripeeps peridrama peristreets periscope turkish turks ios apple ios18 lphone iphone16 iphone16pro iphonesixteen ,0.75,0.65,positive,0.0,0.86,0.14,0.6908,237,37
25,"An alleged donation theft scheme involving six former Apple employees, tax fraud, and an inside man funneling money away from charities robbed Apple of about $152k over three years.

#Apple 
 
 https://t.co/RvEPBQYZsO",an alleged donation theft scheme involving six former apple employees tax fraud and an inside man funneling money away from charities robbed apple of about 152k over three years apple ,-0.05,0.05,negative,0.14,0.769,0.091,-0.1779,184,30
26,"@PentagonPresSec #Pentagon #A
@Apple #Apple #A

@WhiteHouse #A
 @WhiteHouse45 #A
  @ObamaWhiteHouse #A
@PentagonPresSec #A
@NASA #A
@NintendoAmerica #A
@Google #A
@Disney #A

Utopia Civilization Engineering", pentagon apple a a a a utopia civilization engineering,0.0,0.0,neutral,0.0,1.0,0.0,0.0,55,9
27,"Guys guys please marsh apple and bow plush trust trust trust just think about how cute they’d be 

go VOTE !!!
https://t.co/taSFyIwLQm

#inanimateinsanity #inanimateinsanity18 #bow #marshmallow #apple https://t.co/I51sjlUR6c",guys guys please marsh apple and bow plush trust trust trust just think about how cute they be go vote inanimateinsanity inanimateinsanity18 bow marshmallow apple ,0.5,1.0,positive,0.0,0.568,0.432,0.9349,163,25
28,"Where was I …ahhh 

—————————————————-
#btc #bitcoin #crypto #AMC #gme #gamestop #alts #eth #shiba #dogecoin #NVIDIA #tesla #apple #Bullrun2025 #pepe #Memecoin2024 #MEMECOİNS #xrp #Bullmarket https://t.co/tr0ieRXBWN",where was ahhh btc bitcoin crypto amc gme gamestop alts eth shiba dogecoin nvidia tesla apple bullrun2025 pepe memecoin2024 memecoi ns xrp bullmarket ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,150,23
29,"@AppleSupport, some rogue app is misbehaving.

So strange to potentially need to reboot my @Apple #MacBook twice in 24 hours.

Normally, I never restart my #Apple #Laptops for weeks or months, unless a #Software update requires it.", some rogue app is misbehaving so strange to potentially need to reboot my macbook twice in 24 hours normally never restart my apple laptops for weeks or months unless software update requires it ,-0.041666666666666664,0.6,negative,0.14,0.86,0.0,-0.6207,196,33
30,"So I remember seeing the wife and Joanne in the dock behind glass in court?

What to do now?

#Apple #Amazon boss",so remember seeing the wife and joanne in the dock behind glass in court what to do now apple amazon boss,-0.4,0.7,positive,0.0,0.922,0.078,0.1779,105,21
31,"The upcoming HomePod with smart display is believed to be a key product in Apple's smart home strategy. 
#homepod #apple #smarthome  https://t.co/XVrIeExn0e",the upcoming homepod with smart display is believed to be key product in apple smart home strategy homepod apple smarthome ,0.14285714285714285,0.7619047619047619,positive,0.0,0.769,0.231,0.6597,123,20
32,"@Apple #farce #joke #apple #iphone #notbeback 

Salute to the companies who keep it simple 🫡 https://t.co/CvsA2xoI3T", farce joke apple iphone notbeback salute to the companies who keep it simple ,-0.2,0.4285714285714286,negative,0.17,0.692,0.138,-0.128,78,13
33,M4 MacBook Air to iPhone SE -- What to expect from Apple in early 2025 https://t.co/jNuAkpcIFb #Apple,m4 macbook air to iphone se what to expect from apple in early 2025 apple,0.1,0.3,neutral,0.0,1.0,0.0,0.0,73,15
34,Best Seller: The 8Bitdo Ultimate Bluetooth Controller #videogames #android #ios #apple #MobileGaming  https://t.co/RiclhGItcS,best seller the 8bitdo ultimate bluetooth controller videogames android ios apple mobilegaming ,0.5,0.65,positive,0.0,0.724,0.276,0.6369,95,12
35,"@Apple revert iOS 18.1.1 my phone 11 crashes all the damn time!!! 
Huge problem!
Managed to update to 18.2 beta still crashing my phone 
#iOS18 #apple", revert ios 18 1 1 my phone 11 crashes all the damn time huge problem managed to update to 18 2 beta still crashing my phone ios18 apple,0.39999999999999997,0.9,negative,0.182,0.741,0.077,-0.4767,136,28
36,"Week 13 is up on @ApplePodcasts #applepodcast #apple #NFL #SKOL #DallasCowboys #NFLTwitter @Vikings @dallascowboys 

https://t.co/4YmDbW204M",week 13 is up on applepodcast apple nfl skol dallascowboys nfltwitter ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,70,11
37,"New FortuneJob listing: 
Company: Apple 
Title: US-Manager 

Apply below 
Find more jobs like this on FortuneJobs 
#Apple #Career #Jobs #FortuneJobs
 https://t.co/oEg0uQiXTe",new fortunejob listing company apple title us manager apply below find more jobs like this on fortunejobs apple career jobs fortunejobs ,0.3181818181818182,0.4772727272727273,positive,0.0,0.878,0.122,0.4173,136,21
38,"A former #Apple worker has filed a #privacy #lawsuit against the tech giant for alleged #surveillance on employees even when they are working from home 
https://t.co/I43K4bhjOv",a former apple worker has filed privacy lawsuit against the tech giant for alleged surveillance on employees even when they are working from home ,-0.03333333333333333,0.3666666666666667,negative,0.079,0.921,0.0,-0.2263,146,24
39,"HISTORY HAS BEEN MADE TODAY 
💥🙌🏽💥🔥🚀🎆
—————————————————-
#btc #bitcoin #crypto #AMC #gme #gamestop #alts #eth #shiba #dogecoin #NVIDIA #tesla #apple #Bullrun2025 #pepe #Memecoin2024 #MEMECOİNS #xrp #Bullmarket https://t.co/ecHrEXpzOn",history has been made today btc bitcoin crypto amc gme gamestop alts eth shiba dogecoin nvidia tesla apple bullrun2025 pepe memecoin2024 memecoi ns xrp bullmarket ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,163,25
40,Let's ride #gainwithstewartilondanga #AR #AI #MR #XR #5G #NFT #xAI #QML #Web3 #SaaS #AIoT #Grok #DApps #DCaaS #MLOps #Space #slack #DevOps #fintech #Metaverse #VirtualReality #WordPress #CyberSecurity #MachineLearning #PodcastAndChill #PS5 #Max #Xbox #Apple #Xiaomi #Angular #Java https://t.co/1TnV9Mq3su,let ride gainwithstewartilondanga ar ai mr xr 5g nft xai qml web3 saas aiot grok dapps dcaas mlops space slack devops fintech metaverse virtualreality wordpress cybersecurity machinelearning podcastandchill ps5 max xbox apple xiaomi angular java ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,246,35
41,"Custom cover of the day!

#customcoveroftheday #phonecover #realwood #woodworking #laserengraving #custom #toastmade #iphone #android #googlepixel #samsunggalaxy #note20 #razerphone #maple #lyptus #rosewood #ebony #walnut #Macbook #macbookcover #apple #applemacbook #HP https://t.co/vS1VUdyNKT",custom cover of the day customcoveroftheday phonecover realwood woodworking laserengraving custom toastmade iphone android googlepixel samsunggalaxy note20 razerphone maple lyptus rosewood ebony walnut macbook macbookcover apple applemacbook hp ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,245,28
42,Here’s a visualization of a section of the Cayley graph for the Heisenberg group! #ibdp #mathhl #graphtheory #abstractalgebra #grouptheory #swift #swiftui #swiftapp #ios #macos #mobileapp #Apple #coding https://t.co/LCbNH0ofwI,here a visualization of section of the cayley graph for the heisenberg group ibdp mathhl graphtheory abstractalgebra grouptheory swift swiftui swiftapp ios macos mobileapp apple coding ,0.0,0.0,positive,0.0,0.93,0.07,0.2023,185,26
43,"New #Giveaways  added 12/04/24! More than 100 giveaways in total. https://t.co/PGiWcgzgR3 

#Gleam #Sweepstakes #GiveawayAlert #Giveaways #Gungiveaway #Contests #AppleVisionPro #Giveaway #Apple #iPhone15 #iPad #HomePod #TaylorSwiftErasTour #GleamGiveaways",new giveaways added 12 04 24 more than 100 giveaways in total gleam sweepstakes giveawayalert giveaways gungiveaway contests applevisionpro giveaway apple iphone15 ipad homepod taylorswifterastour gleamgiveaways,0.21212121212121213,0.5681818181818182,neutral,0.0,1.0,0.0,0.0,211,26
44,"New @ViralSweep giveaways added 12/04/24! More than 100 giveaways in total. https://t.co/PGiWcgzgR3

#Sweepstakes #GiveawayAlert #Giveaways #Gungiveaway #Contests #AppleVisionPro #Giveaway #Apple #iPhone16 #iPad #HomePod #TaylorSwiftErasTour #ViralSweep",new giveaways added 12 04 24 more than 100 giveaways in total sweepstakes giveawayalert giveaways gungiveaway contests applevisionpro giveaway apple iphone16 ipad homepod taylorswifterastour viralsweep,0.21212121212121213,0.5681818181818182,neutral,0.0,1.0,0.0,0.0,201,25
45,Empowering_MSMEs_Through_Finance #gainwithstewartilondanga #AR #AI #MR #XR #5G #NFT #xAI #QML #Web3 #SaaS #AIoT #Grok #DApps #DCaaS #MLOps #Space #slack #DevOps #fintech #Metaverse #VirtualReality #WordPress #CyberSecurity #MachineLearning #PodcastAndChill #PS5 #Max #Xbox #Apple https://t.co/qX3VXC88tZ,empowering msmes through finance gainwithstewartilondanga ar ai mr xr 5g nft xai qml web3 saas aiot grok dapps dcaas mlops space slack devops fintech metaverse virtualreality wordpress cybersecurity machinelearning podcastandchill ps5 max xbox apple ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,250,34
46,"New @gleamapp giveaways added 12/04/24! More than 100 giveaways in total. https://t.co/PGiWcgzgR3

#Gleam #Sweepstakes #GiveawayAlert #Giveaways #Gungiveaway #Contests #AppleVisionPro #Giveaway #Apple #iPhone15 #iPad #HomePod #TaylorSwiftErasTour #GleamGiveaways",new giveaways added 12 04 24 more than 100 giveaways in total gleam sweepstakes giveawayalert giveaways gungiveaway contests applevisionpro giveaway apple iphone15 ipad homepod taylorswifterastour gleamgiveaways,0.21212121212121213,0.5681818181818182,neutral,0.0,1.0,0.0,0.0,211,26
47,"Ok, Can  not believe #Apple had not thought about the sort contact by date or smth. If you add your new crush ""over the air touch me thing"" better remember her name, or you'll end up scrolling your whole contact list... #Iphone #fail",ok can not believe apple had not thought about the sort contact by date or smth if you add your new crush over the air touch me thing better remember her name or you ll end up scrolling your whole contact list iphone fail,0.16727272727272724,0.43090909090909085,neutral,0.102,0.797,0.102,-0.0,221,44
48,"Wow! Apple's iPhone shipments in India have crossed $10.7 billion (about Rs 90,680 crore) by value so far this calendar year, surpassing the combined sales of FMCG giants Hindustan Unilever and Nestle in FY24. @Apple
#Apple #Samsung #Unilever #nestle
https://t.co/vKs9rfI96n",wow apple iphone shipments in india have crossed 10 7 billion about rs 90 680 crore by value so far this calendar year surpassing the combined sales of fmcg giants hindustan unilever and nestle in fy24 apple samsung unilever nestle ,0.1,1.0,positive,0.0,0.856,0.144,0.7351,232,40
49,"I’m tired of big corporations like @apple and @FedEx treating us consumers like their personal piggy banks. Because #Apple and #FedEx can’t figure out their own problems, Apple decided they had a right to quietly take $130 from my credit card. I had to fight for MY money back.",i tired of big corporations like and treating us consumers like their personal piggy banks because apple and fedex can figure out their own problems apple decided they had right to quietly take 130 from my credit card had to fight for my money back ,0.0693877551020408,0.42414965986394554,negative,0.152,0.706,0.141,-0.1531,249,45
50,"IPhone screen shot editor is a piece of s*it wow 
.
.
.
#apple #iphone #ios",iphone screen shot editor is piece of it wow apple iphone ios,0.1,1.0,positive,0.0,0.743,0.257,0.5859,61,12
51,"iPhone 17 Pro Max getting a MASSIVE DISPLAY UPGRADE🔥
Check Out Here- https://t.co/dKYTyrn0v6 
#iPhone17 #iPhone17Pro #iPhone17ProMax #Apple #iOS1811",iphone 17 pro max getting massive display upgrade check out here iphone17 iphone17pro iphone17promax apple ios1811,0.0,1.0,neutral,0.0,1.0,0.0,0.0,114,16
52,"New FortuneJob listing: 
Company: Apple 
Title: Hardware Reliability Engineer - Display/Touch Module Reliability 

Apply below 
Find more jobs like this on FortuneJobs 
#Apple #Career #Jobs #FortuneJobs
 https://t.co/vYoIs74rdQ",new fortunejob listing company apple title hardware reliability engineer display touch module reliability apply below find more jobs like this on fortunejobs apple career jobs fortunejobs ,0.3181818181818182,0.4772727272727273,positive,0.0,0.9,0.1,0.4173,188,26
53,This year’s top artist on Spotify is breaking records left and right. Find out who! 🔥 https://t.co/Wih9OMIiGp #Spotify #Apple Music #TaylorSwift #MusicTrends,this year top artist on spotify is breaking records left and right find out who spotify apple music taylorswift musictrends,0.2619047619047619,0.3452380952380952,positive,0.0,0.913,0.087,0.2023,123,20
54,"No way, this is unpardonable… Pardon Hunter is ok, but this out of bounds!!! @Apple #Apple https://t.co/RXQdQ2WgaH",no way this is unpardonable pardon hunter is ok but this out of bounds apple ,0.5,0.5,positive,0.095,0.712,0.193,0.1655,77,15
55,"Brands in Chinese Media Focus (20241205)
#Balenciaga #Hermès #Apple #Baidu #iPhones https://t.co/cQg0wdIJKs",brands in chinese media focus 20241205 balenciaga herm apple baidu iphones ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,75,11
56,"iPhone New Update 😮‍💨🔥
.
.
.
.
#apple #iOS18 #update #iphone #iphonepro #iOS1811 https://t.co/ALc4B1yLTl",iphone new update apple ios18 update iphone iphonepro ios1811 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,62,9
57,"At the close of trading on Dec 3, $AAPL reached record levels with seven consecutive gains, underlining its global market dominance. 

Despite #WarrenBuffett's sell-off, #Apple's AI advancements and strategic growth make it a compelling investment choice.

https://t.co/vA5LJwFtQv",at the close of trading on dec 3 aapl reached record levels with seven consecutive gains underlining its global market dominance despite warrenbuffett sell off apple ai advancements and strategic growth make it compelling investment choice ,0.15,0.3,positive,0.0,0.748,0.252,0.7964,240,36
58,"New Apple TV 4K Remote User Guide! (Siri Remote)
https://t.co/Ern391y1XY #AppleTV #Siri #Tutorial #Apple #HowTo #technology",new apple tv 4k remote user guide siri remote appletv siri tutorial apple howto technology,-0.02121212121212122,0.28484848484848485,neutral,0.0,1.0,0.0,0.0,90,15
59,"Sources revealed #Apple is working with #Baidu to add AI functions to #iPhones sold in China. However, the two sides have disagreed over how to use iPhone user data to train and improve models. The divergence could deal a blow to Apple's hopes of boosting iPhone sales in China. https://t.co/nRfa9G8acJ",sources revealed apple is working with baidu to add ai functions to iphones sold in china however the two sides have disagreed over how to use iphone user data to train and improve models the divergence could deal blow to apple hopes of boosting iphone sales in china ,0.0,0.0,positive,0.042,0.809,0.149,0.7003,268,48
60,I don't CARE about the specifics. I just am never gonna buy another #apple or @apple device in my life.,i don care about the specifics just am never gonna buy another apple or device in my life ,0.0,0.0,positive,0.0,0.833,0.167,0.4939,90,18
61,"4 Years Battery improvement 

#apple #iPhone https://t.co/3qOlYOPPQb",4 years battery improvement apple iphone ,0.0,0.0,positive,0.0,0.571,0.429,0.4588,41,6
62,"""Apple achieves a milestone in India! 🇮🇳📱 iPhone sales cross $10 billion in 2024, surpassing FMCG giants &amp; govt schemes like MGNREGA. iPhone 15 &amp; 13 led the charge with 12.1M shipments. Samsung at #2. Is India becoming a premium smartphone hub? 🤔 #iPhoneIndia #Apple"" https://t.co/GfxUWeQcvb", apple achieves milestone in india iphone sales cross 10 billion in 2024 surpassing fmcg giants amp govt schemes like mgnrega iphone 15 amp 13 led the charge with 12 1m shipments samsung at 2 is india becoming premium smartphone hub iphoneindia apple ,0.225,0.42500000000000004,positive,0.0,0.941,0.059,0.3612,251,42
63,🌈 WIN a 15 MacBook Air and elevate your tech game! 🚀💖 Enter here: https://t.co/7gajl5yqkg #giveaway #followme #freebies #contest #prizes #sweepstakes #luckydraw #win #mac #macbook #macbookair #apple #laptop, win 15 macbook air and elevate your tech game enter here giveaway followme freebies contest prizes sweepstakes luckydraw win mac macbook macbookair apple laptop,0.4000000000000001,0.4000000000000001,positive,0.0,0.599,0.401,0.9246,161,24
64,"iPhone 17 lineup iPhone 17, 17 Pro, 17 Air
 What are your thoughts on this?
Credits- @privatetalky #apple #appletechig #iphone17 #iphone17pro https://t.co/JCMILPZQHU",iphone 17 lineup iphone 17 17 pro 17 air what are your thoughts on this credits apple appletechig iphone17 iphone17pro ,0.0,0.0,positive,0.0,0.869,0.131,0.4357,119,20
65,"Apple reveals it's using Amazon's custom AI chips for services like search, boosting efficiency by 40%. A strong endorsement of AWS as it competes with Microsoft and Google in the AI space. #Apple #AWS #AI #amazon #AmazonNOVA https://t.co/CLOchoUgGp",apple reveals it using amazon custom ai chips for services like search boosting efficiency by 40 strong endorsement of aws as it competes with microsoft and google in the ai space apple aws ai amazon amazonnova ,0.43333333333333335,0.7333333333333334,positive,0.0,0.639,0.361,0.9246,211,36
66,Is Apple finally getting serious about gaming? #Apple #gaming #PC   https://t.co/vSYWgoQAB0 https://t.co/vZgl54DFaW,is apple finally getting serious about gaming apple gaming pc ,-0.16666666666666666,0.8333333333333333,negative,0.126,0.874,0.0,-0.0772,62,10
67,"Spotify Wrapped 2024 is here, and the most-streamed artist will blow your mind! 🎧 https://t.co/Wih9OMIiGp #Spotify #Apple Music #TaylorSwift #SpotifyWrapped",spotify wrapped 2024 is here and the most streamed artist will blow your mind spotify apple music taylorswift spotifywrapped,0.5,0.5,neutral,0.0,1.0,0.0,0.0,124,19
68,You’ve gotta respect the variety😍 #apple #music https://t.co/bfQb3OxymV,you ve gotta respect the variety apple music ,0.0,0.0,positive,0.0,0.693,0.307,0.4767,45,8
69,Anyone else with me?  #Apple #Replay #Replay2024 https://t.co/1Zreyne38z,anyone else with me apple replay replay2024 ,0.0,0.0,neutral,0.0,1.0,0.0,0.0,44,7
70,"Indonesia expects a major $1B investment from @Apple to lift the ban on iPhone 16 sales. Despite selling 2.9M iPhones in 2023, Apple's previous offers were rejected.

#apple #ban #indonesia #iPhone16 
https://t.co/v4dH6BrQqI",indonesia expects major 1b investment from to lift the ban on iphone 16 sales despite selling 2 9m iphones in 2023 apple previous offers were rejected apple ban indonesia iphone16 ,-0.001388888888888884,0.2222222222222222,negative,0.288,0.712,0.0,-0.8885,180,30
71,M5 iPad Pro rumored to arrive sometime in late 2025 https://t.co/oP9cxkCfGS #Apple,m5 ipad pro rumored to arrive sometime in late 2025 apple,-0.3,0.6,neutral,0.0,1.0,0.0,0.0,57,11
72,"**Apple Adds 'Send Later' to iMessage**

Now you can schedule texts in iOS 18. Write your message, set a send time, and forget it. #Apple", apple adds send later to imessage now you can schedule texts in ios 18 write your message set send time and forget it apple,0.0,0.0,negative,0.076,0.924,0.0,-0.2263,124,24
73,Spotify’s streaming crown goes to… Find out who dominated playlists in 2024! 🎧 https://t.co/Wih9OMIQvX #Spotify #Apple Music #TaylorSwift #SpotifyWrapped,spotify streaming crown goes to find out who dominated playlists in 2024 spotify apple music taylorswift spotifywrapped,0.0,0.0,neutral,0.0,1.0,0.0,0.0,119,17
74,Great contest from an awesome guy!  Check out @QuackedOnPadres for card content.  #TBBCrew #TheHobby #TheHobbyFamily #Apple https://t.co/Sc57daQlLn,great contest from an awesome guy check out for card content tbbcrew thehobby thehobbyfamily apple ,0.9,0.875,positive,0.0,0.613,0.387,0.8481,99,15
75,"Anyone else having issues on iOS with the emojis after the update?

Sometimes it’s just typing that text, sometimes it does that and makes the big image of them. Sometimes they just act normal.

I’ve never seen an update this broken!!
#Apple #iOS #iOS18 https://t.co/PU5kQJHkWF",anyone else having issues on ios with the emojis after the update sometimes it just typing that text sometimes it does that and makes the big image of them sometimes they just act normal ve never seen an update this broken apple ios ios18 ,-0.08333333333333333,0.3833333333333333,negative,0.078,0.922,0.0,-0.561,239,44
76,"@Android Don’t want to be friends. Do not want to #GetTheMessage 

I despise #Android 

#Apple is superior", don want to be friends do not want to getthemessage despise android apple is superior,0.7,0.9,positive,0.111,0.463,0.426,0.7003,86,15
